"","user_id","os","fx_version","pilot_ver","num_extensions","r_fx_use","r_other_browser_use","r_primary_browser","r_gender","r_age","r_time_on_web","skill","other_browser","r_place","smartphone","reason_web_use","freq_website","news","bookmarks","folders","folder_max_depth","bookmark_status_first","bookmark_status_last","bookmark_status_records","bookmark_choose_first","bookmark_choose_last","bookmark_choose","history_items","history_status_first","history_status_last","history_status_records","num_windows","num_tabs","num_tabs_records","private_on_first","private_on_last","private_on_records","profile_age_oldest","profile_age_first","profile_age_last","profile_age_records"
"1",7,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",2,6,0,NA,0,1,2,10,NA,"0|1|3","1","0|1|3|4|6","0|8","0|1|3",74,22,1,367796893,807934150,10,810118163,810118545,4,8052.3,367788586,807929828,10,0.971518987341772,4.20569620253165,316,647260029,725166794,5,"2010-08-18",367788690,807929860,10
"2",327,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",4,6,1,"1",0,2,3,10,"0","0","0","0|4|6","2|5","1|3",13.0769230769231,2,1,303771359,804356417,13,318628747,804645569,13,6662.61538461538,303768662,804353407,13,1.06462585034014,5.10544217687075,882,728380395,728380395,1,"2010-07-21",303768693,804353590,13
"3",352,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",3,5,1,"1",0,1,2,8,"0|1","0|1|2|3","2","1|2|4","0|3|8|9","0|2|5",71,5,2,251393679,821074245,34,252004529,830386908,184,419.764705882353,251392998,821073978,34,0.981818181818182,1.97954545454545,440,544254172,675494736,2,"2010-10-05",251393072,821074042,34
"4",491,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",3,5,1,"0",0,5,1,6,"3","0","7","0|2|4|6","3|5|7","0|3",267.465909090909,28,2,299604906,822161354,88,300460845,818590732,277,1197.15909090909,299602512,822159198,88,0.858585858585859,1.21414141414141,495,543675030,543675030,1,"2008-12-02",299602644,822159252,88
"5",652,"WINNT Windows NT 6.1","4.0b6","1.0.3",9,5,0,"0",0,1,4,9,NA,"0|1|3|<freeform-text removed>","0","0|4|5|6","0|3|5|8","2",267.875,50.375,1,326614439,764969239,8,419237063,756230262,10,32841.75,326614328,764969057,8,1.02414486921529,4.09054325955734,497,424425948,424425948,1,"2010-03-15",326614417,764969214,8
"6",762,"WINNT Windows NT 6.1","4.0b6","1.0.3",7,5,0,"0",0,1,3,7,NA,"0|2","7","2|3|4|5|6","3|7|8|9","0|1",46.8478260869565,8,2,336600589,790992620,46,458915231,685640459,9,29381.4565217391,336596721,790992072,46,0.878453038674033,2.20441988950276,362,462697786,724046868,2,"2009-06-17",336596846,790992080,46
"7",837,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",4,3,0,"0",NA,0,4,10,NA,"0",NA,NA,NA,NA,35.037037037037,1,1,253594649,765397464,54,326070912,764824003,103,202.796296296296,253592970,765397441,54,0.929203539823009,3.92035398230089,678,491682477,681714954,2,"2010-07-23",253593091,765397454,54
"8",899,"WINNT Windows NT 5.1","4.0b6","1.0.3",29,5,0,"0",0,1,4,8,NA,"0|1|2|3","1","1|2|4|5|6","0|1|2|3|6","0|1|2|5",192.7,33,2,305060129,819269126,10,307632699,846830236,66,1947.6,305054804,819264565,10,0.993700787401575,6.29448818897638,635,406541025,832607755,3,"2006-01-11",305055862,819265345,10
"9",909,"WINNT Windows NT 6.1; WOW64","4.0b7","1.0.3",37,6,0,NA,0,3,2,9,"3","0|1","<freeform-text removed>","0|1|3|4","0|2","0|1",2436.6875,273.5,4,407793989,831920836,16,413009489,835976345,61,11112.6875,407793097,831919337,16,1.45161290322581,6.59976105137395,837,464656049,832985048,3,"2005-01-03",407793147,831919415,16
"10",979,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",4,4,1,"1",0,1,1,8,"3","0|2","2","1|2|6","0|1|2|7","1",58.3809523809524,6,1,266840131,839845029,84,271664077,829520455,55,11587.7976190476,266838280,839843197,84,1.01222142343638,3.18332135154565,1391,566117599,734559383,9,"2010-06-26",266838335,839843202,84
"11",1124,"Darwin Intel Mac OS X 10.6","4.0b6","1.0.3",3,6,1,"1",0,2,4,9,"0|1|2","0|1|3","3","1|3|4|5|6","0|2|3|8|9","1|5",347,50,3,283955704,303385325,3,286008926,303786238,4,1517.33333333333,283955617,303385240,3,0.958333333333333,2.64583333333333,48,302326892,302404035,2,"2007-11-28",283955620,303385242,3
"12",1136,"WINNT Windows NT 5.1","4.0b6","1.0.3",5,4,0,"1",0,1,2,8,NA,"0","7","1|2|3|4|5|6","0|1|2|7|8|9|12","1",95.3658536585366,21,3,286943861,881817102,82,289808007,838078867,265,13276.5,286943682,881816973,82,1.01396348012889,1.88936627282492,931,454722225,454722225,1,"2010-06-30",286943755,881817065,82
"13",1148,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",15,5,0,"1",0,0,1,8,NA,"0|2|3","4|<freeform-text removed>","5|6","1|3|4|7","0",47.05,5,1,311371563,837823185,40,312335781,848579314,50,4686.7,311371099,837823056,40,1.04280821917808,3.08219178082192,584,816533775,816533775,1,"2010-04-01",311371114,837823066,40
"14",1158,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",4,6,1,"1",0,1,1,10,"0|3","0|1","7","1|4|6","0|1|5|6|7|8|9|10","0|1|2",37,2,1,248290199,844423893,52,330460366,774871503,32,18444.4615384615,248288371,844421321,52,1.08752515090543,5.40643863179074,994,422425806,422425806,1,"2010-01-16",248288377,844421334,52
"15",1264,"WINNT Windows NT 6.0","4.0b6","1.0.3",5,5,1,"1",0,2,2,9,"0|3","0|1","2","1|3|4","0|2|3|5|6|7|8|9|12","0|1|3|5",21.3061224489796,1,1,268494600,827642454,49,313072372,840974337,61,779.30612244898,268492957,827641255,49,1.45233644859813,1.65046728971963,535,752740181,825388745,2,"2010-09-18",268493033,827641263,49
"16",1288,"Darwin Intel Mac OS X 10.6","4.0b6","1.0.3",2,5,1,"1",0,1,2,8,"1","0|1|2","1","2|4|5|6","0|1|2|3|5|6|8|9","1|3",29,3,1,302681517,877390319,40,303215626,874445634,125,9220.425,302681449,877390234,40,1.08837209302326,2.35813953488372,430,345463843,877458722,3,"2010-04-01",302681452,877390236,40
"17",1323,"WINNT Windows NT 6.0","4.0b6","1.0.3",13,5,0,"1",0,1,2,8,NA,"0",NA,"6","1|3|8","0",71,6,1,312220667,827470764,8,327430361,585070200,7,15841.75,312215767,827464178,8,0.987951807228916,3.46987951807229,249,407663517,442198441,4,"2007-10-26",312215917,827464644,8
"18",1343,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",2,6,1,"1",0,1,6,9,"0|3","0|1|2","7","1|2|3|4|5|6","0|1|2|3|5|6|7|8|9|10|12","0|1|5",21.2903225806452,3,1,254678472,841972881,62,400492909,677775083,3,20130.564516129,254678075,841972794,62,0.974248927038627,2.58798283261803,699,346300832,809523919,7,"2010-04-01",254678167,841972810,62
"19",1394,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",14,6,1,"1",0,3,2,10,"<freeform-text removed>","0|1|3","2","0|1|3|4|6","0|2|6|7|8","0|1|2",267.411764705882,36,4,271745353,844225321,17,272394545,842400334,87,19558.5882352941,271743739,844224342,17,1.02886597938144,6.32783505154639,970,358869154,661917038,4,"2010-01-06",271744402,844224725,17
