"","user_id","os","fx_version","pilot_ver","num_extensions"
"1",0,"WINNT Windows NT 6.1","4.0b6","1.0.3",3
"2",1,"WINNT Windows NT 5.1","4.0b6","1.0.3",4
"3",2,"WINNT Windows NT 5.1","4.0b6","1.0.3",5
"4",3,"WINNT Windows NT 6.1","4.0b6","1.0.3",5
"5",4,"WINNT Windows NT 5.1","4.0b4","1.0.2",3
"6",5,"WINNT Windows NT 5.1","4.0b6","1.0.3",9
"7",6,"WINNT Windows NT 5.1","4.0b6","1.0.3",8
"8",7,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",2
"9",8,"WINNT Windows NT 5.1","4.0b6","1.0.3",3
"10",9,"WINNT Windows NT 5.1","4.0b6","1.0.3",5
"11",10,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",5
"12",11,"WINNT Windows NT 6.1","4.0b6","1.0.3",6
"13",12,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",2
"14",13,"WINNT Windows NT 6.1; WOW64","4.0b7","1.0.3",11
"15",14,"WINNT Windows NT 6.1","4.0b6","1.0.3",1
"16",15,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",7
"17",16,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",6
"18",17,"WINNT Windows NT 5.1","4.0b6","1.0.3",2
"19",18,"WINNT Windows NT 5.1","4.0b6","1.0.3",7
"20",19,"Darwin Intel Mac OS X 10.5","4.0b6","1.0.3",7
"21",20,"WINNT Windows NT 5.1","4.0b6","1.0.3",7
"22",21,"WINNT Windows NT 6.1","4.0b6","1.0.3",5
"23",22,"WINNT Windows NT 5.1","4.0b6","1.0.3",3
"24",23,"Darwin Intel Mac OS X 10.6","4.0b6","1.0.3",3
"25",24,"WINNT Windows NT 6.1","4.0b6","1.0.3",4
"26",25,"WINNT Windows NT 5.1","4.0b6","1.0.3",8
"27",26,"WINNT Windows NT 6.1","4.0b6","1.0.3",6
